source,target,transaction_type,amount,hash,timeStamp,label,tokenSymbol,contractAddress,source_layer,source_clean,target_clean,is_service_provider,service_matched_side,service_provider_name,service_provider_category,service_provider_source,service_provider_note
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x2fedd7f5ad4456352692a9ca0aa1f76e86975893,normal_eth,0.03,0x65d9abdc82e6fc7ae08a36d75fb8e88807950d5ad4398428f0d2b42d1dd1f1b9,1629648740,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x2fedd7f5ad4456352692a9ca0aa1f76e86975893,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x2fedd7f5ad4456352692a9ca0aa1f76e86975893,normal_eth,0.03,0x11920a809b5b275c044ddc3f9e9d094ce90fd271f37e10f6b56d6f8a5a5945e7,1629664204,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x2fedd7f5ad4456352692a9ca0aa1f76e86975893,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x2fedd7f5ad4456352692a9ca0aa1f76e86975893,normal_eth,0.02,0x2e23bda90803fab199422ba4466d749685b672517d4fefdf515cf6c16c152647,1629666162,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x2fedd7f5ad4456352692a9ca0aa1f76e86975893,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0xb49e43000b8198a04036702e47e6f587b195c11c,normal_eth,0.02,0x6181d746a8da128e563785e9aac2111ea1a3807dcda0a188487b00f581d4f955,1629667145,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0xb49e43000b8198a04036702e47e6f587b195c11c,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,normal_eth,1.0,0x7950c84364379b706f33938bf954de567370ee1246e5a1114b05d4f3eb70188f,1629753952,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,normal_eth,0.02,0x01bb9f3fc0abefb34c6756cf5c012d856cbe2587db71fd5ce7ed360628dfeb62,1629760284,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,normal_eth,0.02,0xa5d2c91d7acf0db65bf812e02c49c4fd046d8f7747b60246b7d9bd9db2efc688,1629760413,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,normal_eth,0.02,0x7ea856b242a72f857e37e37ad408ad9767a38d81d24446ace7d804299c9f3ac5,1629771097,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,normal_eth,0.02,0xfb5331f384bbc445e0cecb7c377f5571a0e00874e3d9fe8828dce06aef201651,1629774453,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,normal_eth,0.02,0x602a0a41dae3c1d6e6cffd5676204c3d725256247ff93fe7f2e3e3baa5b86929,1629775047,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,False,none,,,,
